globalId,ruleId,verdict,evidence,citation
"1aj$VJZFn2TxepZUBcKp$i","DC-M1",pass,"leaf width 762mm (from ObjectType '0762 x 2032mm') vs declared OverallWidth 762mm; delta 0mm tolerance 25mm","NBC 2020 3.8.3.12 / model integrity (illustrative, not legal text)"
"1aj$VJZFn2TxepZUBcKp$i","DC-W1",fail,"IFCDOOR.OverallWidth attribute = 762mm; required >= 850mm","NBC 2020 3.8.3.12 (illustrative, not legal text)"
"1aj$VJZFn2TxepZUBcKp$i","DC-W2",inconclusive,"Pset_DoorCommon.ClearWidth property not present in the model; required >= 850mm","NBC 2020 3.8.3.12 (illustrative, not legal text)"
"1aj$VJZFn2TxepZUBcKp$i","DC-Z1",not_applicable,"storey 'Level 2' is outside the rule's storey filter 'Level 1'","NBC 2020 3.8.3.12(3) (illustrative, not legal text)"
"1aj$VJZFn2TxepZUBcKpac","DC-M1",pass,"leaf width 762mm (from ObjectType '0762 x 2032mm') vs declared OverallWidth 762mm; delta 0mm tolerance 25mm","NBC 2020 3.8.3.12 / model integrity (illustrative, not legal text)"
"1aj$VJZFn2TxepZUBcKpac","DC-W1",fail,"IFCDOOR.OverallWidth attribute = 762mm; required >= 850mm","NBC 2020 3.8.3.12 (illustrative, not legal text)"
"1aj$VJZFn2TxepZUBcKpac","DC-W2",inconclusive,"Pset_DoorCommon.ClearWidth property not present in the model; required >= 850mm","NBC 2020 3.8.3.12 (illustrative, not legal text)"
"1aj$VJZFn2TxepZUBcKpac","DC-Z1",not_applicable,"storey 'Level 2' is outside the rule's storey filter 'Level 1'","NBC 2020 3.8.3.12(3) (illustrative, not legal text)"
"1hOSvn6df7F8_7GcBWlRGQ","DC-M1",pass,"leaf width 1250mm (from ObjectType '1250mm x 2010mm') vs declared OverallWidth 1250mm; delta 0mm tolerance 25mm","NBC 2020 3.8.3.12 / model integrity (illustrative, not legal text)"
"1hOSvn6df7F8_7GcBWlRGQ","DC-W1",pass,"IFCDOOR.OverallWidth attribute = 1250mm; required >= 850mm","NBC 2020 3.8.3.12 (illustrative, not legal text)"
"1hOSvn6df7F8_7GcBWlRGQ","DC-W2",inconclusive,"Pset_DoorCommon.ClearWidth property not present in the model; required >= 850mm","NBC 2020 3.8.3.12 (illustrative, not legal text)"
"1hOSvn6df7F8_7GcBWlRGQ","DC-Z1",pass,"zone [(7.133,-16.803,-0.1)..(9.633,-14.303,2.01)] m from placement (8.383,-15.553,0) m, reach 1250mm; no furnishing origin inside","NBC 2020 3.8.3.12(3) (illustrative, not legal text)"
"1hOSvn6df7F8_7GcBWlRH8","DC-M1",pass,"leaf width 1250mm (from ObjectType '1250mm x 2010mm') vs declared OverallWidth 1250mm; delta 0mm tolerance 25mm","NBC 2020 3.8.3.12 / model integrity (illustrative, not legal text)"
"1hOSvn6df7F8_7GcBWlRH8","DC-W1",pass,"IFCDOOR.OverallWidth attribute = 1250mm; required >= 850mm","NBC 2020 3.8.3.12 (illustrative, not legal text)"
"1hOSvn6df7F8_7GcBWlRH8","DC-W2",inconclusive,"Pset_DoorCommon.ClearWidth property not present in the model; required >= 850mm","NBC 2020 3.8.3.12 (illustrative, not legal text)"
"1hOSvn6df7F8_7GcBWlRH8","DC-Z1",pass,"zone [(-0.833,-3.497,-0.1)..(1.667,-0.997,2.01)] m from placement (0.417,-2.247,0) m, reach 1250mm; no furnishing origin inside","NBC 2020 3.8.3.12(3) (illustrative, not legal text)"
"1hOSvn6df7F8_7GcBWlS8Z","DC-M1",pass,"leaf width 762mm (from ObjectType '0762 x 2032mm') vs declared OverallWidth 762mm; delta 0mm tolerance 25mm","NBC 2020 3.8.3.12 / model integrity (illustrative, not legal text)"
"1hOSvn6df7F8_7GcBWlS8Z","DC-W1",fail,"IFCDOOR.OverallWidth attribute = 762mm; required >= 850mm","NBC 2020 3.8.3.12 (illustrative, not legal text)"
"1hOSvn6df7F8_7GcBWlS8Z","DC-W2",inconclusive,"Pset_DoorCommon.ClearWidth property not present in the model; required >= 850mm","NBC 2020 3.8.3.12 (illustrative, not legal text)"
"1hOSvn6df7F8_7GcBWlS8Z","DC-Z1",fail,"zone [(5.588,-10.815,-0.1)..(7.112,-9.291,2.032)] m from placement (6.35,-10.053,0) m, reach 762mm; obstructed by #16884 #26941","NBC 2020 3.8.3.12(3) (illustrative, not legal text)"
"1hOSvn6df7F8_7GcBWlS9F","DC-M1",pass,"leaf width 762mm (from ObjectType '0762 x 2032mm') vs declared OverallWidth 762mm; delta 0mm tolerance 25mm","NBC 2020 3.8.3.12 / model integrity (illustrative, not legal text)"
"1hOSvn6df7F8_7GcBWlS9F","DC-W1",fail,"IFCDOOR.OverallWidth attribute = 762mm; required >= 850mm","NBC 2020 3.8.3.12 (illustrative, not legal text)"
"1hOSvn6df7F8_7GcBWlS9F","DC-W2",inconclusive,"Pset_DoorCommon.ClearWidth property not present in the model; required >= 850mm","NBC 2020 3.8.3.12 (illustrative, not legal text)"
"1hOSvn6df7F8_7GcBWlS9F","DC-Z1",fail,"zone [(1.688,-8.511,-0.1)..(3.212,-6.987,2.032)] m from placement (2.45,-7.749,0) m, reach 762mm; obstructed by #16411 #31313","NBC 2020 3.8.3.12(3) (illustrative, not legal text)"
"1hOSvn6df7F8_7GcBWlSDm","DC-M1",pass,"leaf width 864mm (from ObjectType '0864 x 2032mm') vs declared OverallWidth 864mm; delta 0mm tolerance 25mm","NBC 2020 3.8.3.12 / model integrity (illustrative, not legal text)"
"1hOSvn6df7F8_7GcBWlSDm","DC-W1",pass,"IFCDOOR.OverallWidth attribute = 864mm; required >= 850mm","NBC 2020 3.8.3.12 (illustrative, not legal text)"
"1hOSvn6df7F8_7GcBWlSDm","DC-W2",inconclusive,"Pset_DoorCommon.ClearWidth property not present in the model; required >= 850mm","NBC 2020 3.8.3.12 (illustrative, not legal text)"
"1hOSvn6df7F8_7GcBWlSDm","DC-Z1",not_applicable,"storey 'Level 2' is outside the rule's storey filter 'Level 1'","NBC 2020 3.8.3.12(3) (illustrative, not legal text)"
"1hOSvn6df7F8_7GcBWlSFK","DC-M1",pass,"leaf width 864mm (from ObjectType '0864 x 2032mm') vs declared OverallWidth 864mm; delta 0mm tolerance 25mm","NBC 2020 3.8.3.12 / model integrity (illustrative, not legal text)"
"1hOSvn6df7F8_7GcBWlSFK","DC-W1",pass,"IFCDOOR.OverallWidth attribute = 864mm; required >= 850mm","NBC 2020 3.8.3.12 (illustrative, not legal text)"
"1hOSvn6df7F8_7GcBWlSFK","DC-W2",inconclusive,"Pset_DoorCommon.ClearWidth property not present in the model; required >= 850mm","NBC 2020 3.8.3.12 (illustrative, not legal text)"
"1hOSvn6df7F8_7GcBWlSFK","DC-Z1",not_applicable,"storey 'Level 2' is outside the rule's storey filter 'Level 1'","NBC 2020 3.8.3.12(3) (illustrative, not legal text)"
"1s1jVhK8z0pgKYcr9jt781","DC-M1",pass,"leaf width 813mm (from ObjectType '0813 x 2420mm') vs declared OverallWidth 813mm; delta 0mm tolerance 25mm","NBC 2020 3.8.3.12 / model integrity (illustrative, not legal text)"
"1s1jVhK8z0pgKYcr9jt781","DC-W1",fail,"IFCDOOR.OverallWidth attribute = 813mm; required >= 850mm","NBC 2020 3.8.3.12 (illustrative, not legal text)"
"1s1jVhK8z0pgKYcr9jt781","DC-W2",inconclusive,"Pset_DoorCommon.ClearWidth property not present in the model; required >= 850mm","NBC 2020 3.8.3.12 (illustrative, not legal text)"
"1s1jVhK8z0pgKYcr9jt781","DC-Z1",pass,"zone [(1.822,-1.23,-0.1)..(3.448,0.396,2.42)] m from placement (2.635,-0.417,0) m, reach 813mm; no furnishing origin inside","NBC 2020 3.8.3.12(3) (illustrative, not legal text)"
"1s1jVhK8z0pgKYcr9jt7AB","DC-M1",pass,"leaf width 813mm (from ObjectType '0813 x 2420mm') vs declared OverallWidth 813mm; delta 0mm tolerance 25mm","NBC 2020 3.8.3.12 / model integrity (illustrative, not legal text)"
"1s1jVhK8z0pgKYcr9jt7AB","DC-W1",fail,"IFCDOOR.OverallWidth attribute = 813mm; required >= 850mm","NBC 2020 3.8.3.12 (illustrative, not legal text)"
"1s1jVhK8z0pgKYcr9jt7AB","DC-W2",inconclusive,"Pset_DoorCommon.ClearWidth property not present in the model; required >= 850mm","NBC 2020 3.8.3.12 (illustrative, not legal text)"
"1s1jVhK8z0pgKYcr9jt7AB","DC-Z1",pass,"zone [(5.352,-18.196,-0.1)..(6.978,-16.57,2.42)] m from placement (6.165,-17.383,0) m, reach 813mm; no furnishing origin inside","NBC 2020 3.8.3.12(3) (illustrative, not legal text)"
"2OBrcmyk58NupXoVOHUuXp","DC-M1",pass,"leaf width 864mm (from ObjectType '0864 x 2032mm') vs declared OverallWidth 864mm; delta 0mm tolerance 25mm","NBC 2020 3.8.3.12 / model integrity (illustrative, not legal text)"
"2OBrcmyk58NupXoVOHUuXp","DC-W1",pass,"IFCDOOR.OverallWidth attribute = 864mm; required >= 850mm","NBC 2020 3.8.3.12 (illustrative, not legal text)"
"2OBrcmyk58NupXoVOHUuXp","DC-W2",inconclusive,"Pset_DoorCommon.ClearWidth property not present in the model; required >= 850mm","NBC 2020 3.8.3.12 (illustrative, not legal text)"
"2OBrcmyk58NupXoVOHUuXp","DC-Z1",not_applicable,"storey 'Level 2' is outside the rule's storey filter 'Level 1'","NBC 2020 3.8.3.12(3) (illustrative, not legal text)"
"2OBrcmyk58NupXoVOHUvPL","DC-M1",pass,"leaf width 864mm (from ObjectType '0864 x 2032mm') vs declared OverallWidth 864mm; delta 0mm tolerance 25mm","NBC 2020 3.8.3.12 / model integrity (illustrative, not legal text)"
"2OBrcmyk58NupXoVOHUvPL","DC-W1",pass,"IFCDOOR.OverallWidth attribute = 864mm; required >= 850mm","NBC 2020 3.8.3.12 (illustrative, not legal text)"
"2OBrcmyk58NupXoVOHUvPL","DC-W2",inconclusive,"Pset_DoorCommon.ClearWidth property not present in the model; required >= 850mm","NBC 2020 3.8.3.12 (illustrative, not legal text)"
"2OBrcmyk58NupXoVOHUvPL","DC-Z1",not_applicable,"storey 'Level 2' is outside the rule's storey filter 'Level 1'","NBC 2020 3.8.3.12(3) (illustrative, not legal text)"
"2OBrcmyk58NupXoVOHUvR4","DC-M1",pass,"leaf width 864mm (from ObjectType '0864 x 2032mm') vs declared OverallWidth 864mm; delta 0mm tolerance 25mm","NBC 2020 3.8.3.12 / model integrity (illustrative, not legal text)"
"2OBrcmyk58NupXoVOHUvR4","DC-W1",pass,"IFCDOOR.OverallWidth attribute = 864mm; required >= 850mm","NBC 2020 3.8.3.12 (illustrative, not legal text)"
"2OBrcmyk58NupXoVOHUvR4","DC-W2",inconclusive,"Pset_DoorCommon.ClearWidth property not present in the model; required >= 850mm","NBC 2020 3.8.3.12 (illustrative, not legal text)"
"2OBrcmyk58NupXoVOHUvR4","DC-Z1",not_applicable,"storey 'Level 2' is outside the rule's storey filter 'Level 1'","NBC 2020 3.8.3.12(3) (illustrative, not legal text)"
"2OBrcmyk58NupXoVOHUvVV","DC-M1",pass,"leaf width 864mm (from ObjectType '0864 x 2032mm') vs declared OverallWidth 864mm; delta 0mm tolerance 25mm","NBC 2020 3.8.3.12 / model integrity (illustrative, not legal text)"
"2OBrcmyk58NupXoVOHUvVV","DC-W1",pass,"IFCDOOR.OverallWidth attribute = 864mm; required >= 850mm","NBC 2020 3.8.3.12 (illustrative, not legal text)"
"2OBrcmyk58NupXoVOHUvVV","DC-W2",inconclusive,"Pset_DoorCommon.ClearWidth property not present in the model; required >= 850mm","NBC 2020 3.8.3.12 (illustrative, not legal text)"
"2OBrcmyk58NupXoVOHUvVV","DC-Z1",not_applicable,"storey 'Level 2' is outside the rule's storey filter 'Level 1'","NBC 2020 3.8.3.12(3) (illustrative, not legal text)"
